question_code,subject_id,unit_id,chapter_id,subtopic_id,difficulty,question_type,answer_type,question_text,option_a,option_b,option_c,option_d,correct_option,answer,explanation,more_explanation,concept_tested,question_archetype,exam_level,source_type,tags,estimated_time_sec,marks,negative_marks,language,status,version,set_no
Mathematics_U1_CH1_ST1_S1_B1_Q00,,U1,CH1,ST1,Foundation,MCQ,single,"Let A = {x in N : 2x + 3 < 14}, where N = {1, 2, 3, ...}. Which of the following is A?","{1, 2, 3, 4}","{1, 2, 3, 4, 5}","{0, 1, 2, 3, 4, 5}","{1, 2, 3, 4, 5, 6}",B,"{1, 2, 3, 4, 5}","The inequality 2x + 3 < 14 gives 2x < 11, so x < 5.5. Since x is a positive natural number, x can be 1, 2, 3, 4, or 5.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q01,,U1,CH1,ST1,Foundation,MCQ,single,A set has 5 distinct elements. How many non-empty proper subsets does it have?,30,31,32,25,A,30,A set with 5 elements has 2^5 = 32 subsets. Excluding the empty set and the set itself leaves 32 - 2 = 30 non-empty proper subsets.,,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q02,,U1,CH1,ST1,Foundation,MCQ,single,"If A = {1, 2, 3} and B = {2, 3, 4}, then A symmetric difference B is","{2, 3}","{1, 4}","{1, 2, 3, 4}","{1, 2, 4}",B,"{1, 4}","The symmetric difference contains elements that are in exactly one of the two sets. Here, 1 is only in A and 4 is only in B, so A symmetric difference B = {1, 4}.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q03,,U1,CH1,ST1,Foundation,MCQ,single,"For two subsets A and B of a universal set U, the complement of A union B is equal to",A' union B',A' intersection B',A intersection B,A union B',B,A' intersection B',"By De Morgan's law, (A union B)' = A' intersection B'.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q04,,U1,CH1,ST1,Easy,MCQ,single,"The intersection of the intervals [-2, 5) and (1, 7] is","[-2, 7]","(1, 5)","[1, 5]","(1, 7]",B,"(1, 5)","The common points must be greater than 1 and less than 5. Since 1 is excluded by the second interval and 5 is excluded by the first interval, the intersection is (1, 5).",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q05,,U1,CH1,ST1,Easy,MCQ,single,"If n(A) = 28, n(B) = 35, and n(A intersection B) = 12, then n(A union B) is",51,63,75,40,A,51,"Using n(A union B) = n(A) + n(B) - n(A intersection B), we get 28 + 35 - 12 = 51.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q06,,U1,CH1,ST1,Easy,MCQ,single,"In a universal set of 50 elements, 12 elements are only in A, 15 elements are only in B, and 8 elements are in neither A nor B. How many elements are in A intersection B?",12,15,18,20,B,15,"The universal set is divided into four disjoint regions: only A, only B, both A and B, and neither. Therefore, n(A intersection B) = 50 - 12 - 15 - 8 = 15.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q07,,U1,CH1,ST1,Easy,MCQ,single,"Let S = {a, b, c, d}. How many subsets of S contain a but do not contain b?",2,4,6,8,B,4,"The subset must contain a and must not contain b. The elements c and d are optional, giving 2^2 = 4 possible subsets.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q08,,U1,CH1,ST1,Medium,MCQ,single,"If A and B are finite sets such that n(A) = 3 and n(A x B) = 18, then the number of non-empty subsets of B is",31,63,64,127,B,63,"Since n(A x B) = n(A)n(B), we have 18 = 3n(B), so n(B) = 6. The number of non-empty subsets of B is 2^6 - 1 = 63.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q09,,U1,CH1,ST1,Medium,MCQ,single,"If n(A) = 20, n(B) = 24, and n(A union B) = 34, then n(A symmetric difference B) is",20,22,24,28,C,24,"First, n(A intersection B) = n(A) + n(B) - n(A union B) = 20 + 24 - 34 = 10. Hence n(A symmetric difference B) = n(A) + n(B) - 2n(A intersection B) = 44 - 20 = 24.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q10,,U1,CH1,ST1,Medium,MCQ,single,"For three finite sets A, B, and C, suppose n(A) = 25, n(B) = 30, n(C) = 28, n(A intersection B) = 10, n(B intersection C) = 12, n(C intersection A) = 8, and n(A intersection B intersection C) = 5. Find n(A union B union C).",53,58,63,68,B,58,"By inclusion-exclusion, n(A union B union C) = 25 + 30 + 28 - 10 - 12 - 8 + 5 = 58.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q11,,U1,CH1,ST1,Medium,MCQ,single,"If A is a subset of B, then which of the following is always true?",A union B = A and A intersection B = B,A union B = B and A intersection B = A,A union B = A intersection B,A intersection B is empty,B,A union B = B and A intersection B = A,"If A is contained in B, then combining A with B gives B, and the common part of A and B is exactly A. Hence A union B = B and A intersection B = A.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q12,,U1,CH1,ST1,Medium,MCQ,single,"If n(A) = 2 and n(B) = 3, then the number of possible relations from A to B is",6,12,32,64,D,64,"A relation from A to B is any subset of A x B. Since n(A x B) = 2 x 3 = 6, the number of relations is 2^6 = 64.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q13,,U1,CH1,ST1,Hard,MCQ,single,How many equivalence relations can be defined on a set with exactly 3 elements?,3,4,5,8,C,5,"Equivalence relations correspond to partitions of the set. A 3-element set can be partitioned as: one block of 3, one block of 2 and one singleton in 3 ways, or three singleton blocks. Thus the total is 1 + 3 + 1 = 5.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q14,,U1,CH1,ST1,Hard,MCQ,single,"How many subsets of {1, 2, 3, ..., 10} contain exactly 3 even numbers and at least 2 odd numbers?",200,240,260,300,C,260,"There are 5 even and 5 odd numbers. Choose exactly 3 evens in C(5,3) = 10 ways. Choose at least 2 odds in C(5,2) + C(5,3) + C(5,4) + C(5,5) = 10 + 10 + 5 + 1 = 26 ways. Total = 10 x 26 = 260.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q15,,U1,CH1,ST1,Hard,MCQ,single,"If n(A) = 7, n(B) = 9, and n(A union B) = 13, then the number of elements that belong to exactly one of A and B is",7,9,10,13,C,10,"First, n(A intersection B) = 7 + 9 - 13 = 3. Elements belonging to exactly one of A and B equal n(A union B) - n(A intersection B) = 13 - 3 = 10.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q16,,U1,CH1,ST1,Hard,MCQ,single,"Let S = {1, 2, 3, 4}. The number of ordered pairs (X, Y), where X and Y are subsets of S and X is a subset of Y, is",64,81,128,256,B,81,"For each element of S, there are three possibilities: it is in neither X nor Y, it is in Y only, or it is in both X and Y. Hence the number of ordered pairs is 3^4 = 81.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q17,,U1,CH1,ST1,Elite,MCQ,single,"Let U be a universal set with n(U) = 60. If A and B are subsets of U with n(A) = 35 and n(B) = 32, then the minimum possible value of n(A intersection B) is",0,5,7,10,C,7,"The minimum possible intersection is n(A) + n(B) - n(U), if this is positive. Here it is 35 + 32 - 60 = 7. So at least 7 elements must be common.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q18,,U1,CH1,ST1,Elite,MCQ,single,"Let U be a set with 12 elements. Let A and B be subsets of U such that n(A) = 5, n(B) = 4, and n(A intersection B) = 1. How many subsets X of U satisfy A intersection X = empty set and B is a subset of X?",0,8,16,32,A,0,"Since A intersection B has one element, B contains an element of A. But B must be a subset of X, so that element must be in X. Also A intersection X must be empty, so no element of A can be in X. This is impossible. Hence there are 0 such subsets.",,,,,AI,,,,,English,ACTIVE,1.0,1
Mathematics_U1_CH1_ST1_S1_B1_Q19,,U1,CH1,ST1,Elite,MCQ,single,"Let S = {1, 2, 3, 4, 5}. How many ordered triples (A, B, C) of subsets of S satisfy A intersection B is a subset of C and C is a subset of A union B?",3125,4096,7776,15625,C,7776,"For each element, consider whether it belongs to A, B, and C. The conditions exclude the cases where the element is in A and B but not in C, and where it is in C but in neither A nor B. The allowed membership patterns are 000, 100, 010, 101, 011, and 111, giving 6 choices per element. For 5 elements, the total is 6^5 = 7776.",,,,,AI,,,,,English,ACTIVE,1.0,1
