id,unit_id,code,chapter_name,display_order,created_at,is_test_enabled
9524811e-07e0-4acb-830c-671348e03de1,8ef26463-95d2-4f59-80dd-1ba033b1543d,P1_CH1,Units and Measurements,1,2026-06-20 14:36:09.792622+00,TRUE
486147dc-2fa1-4cc0-9abb-1ca99f84659f,bc136990-1291-4716-afa4-e965bafd2a08,P10_CH1,Simple Harmonic Motion,1,2026-06-20 14:36:21.786033+00,FALSE
8d383808-3a6a-4a32-9dba-811f80910967,bc136990-1291-4716-afa4-e965bafd2a08,P10_CH2,Waves,2,2026-06-20 14:36:21.786033+00,FALSE
b6002bcf-108f-4dab-ae59-1bc4487f9c5a,9b257df7-dbae-45e5-8a2d-5d3a94a1e50d,P11_CH1,Electric Charges and Fields,1,2026-06-20 14:38:10.671144+00,FALSE
637ac670-f685-4dd5-858c-da42e68ad461,9b257df7-dbae-45e5-8a2d-5d3a94a1e50d,P11_CH2,Electric Potential and Capacitance,2,2026-06-20 14:38:10.671144+00,FALSE
a746773c-1ac4-4d8c-b561-8c61a8d08a3b,2c72fd55-71dc-4e9e-826e-13e2dc57f9f6,P12_CH1,Current Electricity,1,2026-06-20 14:38:10.671144+00,FALSE
bcd36069-e61c-4461-982d-5b656a340165,b2de4787-28bf-472d-bf94-6fd4d8a950c8,P13_CH1,Moving Charges and Magnetism,1,2026-06-20 14:38:10.671144+00,FALSE
221ae63b-a862-4aa0-b41f-996f4802903f,903cd32d-5ef9-4aae-ad61-7d33b061b018,P14_CH1,Magnetism and Matter,1,2026-06-20 14:38:10.671144+00,FALSE
ee9d0da6-e135-4219-827c-6bcbdb7ca448,3efe5ab5-0b73-49a5-a676-f8887063b605,P15_CH1,Electromagnetic Induction,1,2026-06-20 14:38:10.671144+00,FALSE
30018ef7-5d33-42f2-857c-b1bd3cbada24,1a45ec4a-b507-43ec-9928-c39700c7f06f,P16_CH1,Alternating Current,1,2026-06-20 14:38:10.671144+00,FALSE
87ce1afe-5243-4ecb-bccd-489a2aa1213a,650935b4-d9ff-4c73-a8e3-967d9af9822c,P17_CH1,Electromagnetic Waves,1,2026-06-20 14:38:10.671144+00,FALSE
66ff5d75-4591-43b9-b586-b2d4f4d4f5a0,06816cff-61df-4417-b9db-a61ea2d7560f,P18_CH1,Reflection by Mirrors,1,2026-06-20 14:38:23.50483+00,FALSE
62400907-776e-4f0f-be0a-2030781c06b8,06816cff-61df-4417-b9db-a61ea2d7560f,P18_CH2,Refraction,2,2026-06-20 14:38:23.50483+00,FALSE
